model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error,model_dataset
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,0.01,0.1711970686912536,0.5969,0.1711970686912536,3.70436399246307,0.5969,3.4908084380789677,True,True,0.1620623350143432,0.5458000000000001,0.1620623350143432,0.91352541744203,0.5458000000000001,0.7069302812289403,True,True,0.0091347336769104,0.0510999999999999,5.335800283697912,8.560897972859763,True,True,0.0102851384515858,120.141845703125,0.1406212364904955,0.3472163727035852,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,10.0,frob,1.0,0.0456819295883178,0.0732,0.0456819295883178,0.2187730030270184,0.0732,0.2065901253443446,True,True,0.0396400868892669,0.0647999999999999,0.0396400868892669,0.0628783749988021,0.0647999999999999,0.0503784131438744,True,False,0.0060418426990508,0.0084,13.22589206169602,11.475409836065667,True,False,0.0074930700217943,0.0022111535072326,0.0257752873646751,0.0382752492196028,cnn-4_mnist
cnn-4,mnist,learnt,10,rayleigh-zf,10.0,frob,0.01,0.0435469806194305,0.0692,0.0435469806194305,0.1159375940630338,0.0692,0.1037920658056227,True,True,0.0429759502410888,0.0686999999999999,0.0429759502410888,0.0732117434822228,0.0686999999999999,0.0609699530319442,True,False,0.0005710303783416,0.0005,1.311297293679366,0.7225433526012365,True,False,0.0074930700217943,2.8403658866882324,0.0247801090738143,0.0370218995240929,cnn-4_mnist
cnn-9,cifar10,learnt,50,rayleigh-zf,0.0,frob,0.1,0.1754888892173767,0.6052,0.1754888892173767,7.632486626300128,0.6052,7.431888441433709,True,True,0.1607565760612487,0.5011,0.1607565760612487,0.4054244671104357,0.5011,0.2146063441939167,True,False,0.0147323131561279,0.1040999999999999,8.395011913192487,17.2009253139458,True,False,0.0102851384515858,4.116276264190674,0.1671794202426305,0.3579975431591495,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,0.0,frob,0.01,0.2075693845748901,0.2895999999999999,0.2075693845748901,0.2356213128185402,0.2895999999999999,0.2234384351358663,True,False,0.1963003516197204,0.2689,0.1963003516197204,0.0922995773389681,0.2689,0.08004805100644,False,False,0.0112690329551696,0.0206999999999999,5.429043872847183,7.147790055248599,True,False,0.024341379813316,3.408090591430664,0.0246921708551364,0.0369436971876644,cnn-4_mnist
cnn-9,cifar10,learnt,10,rayleigh-zf,0.0,frob,1.0,0.1658778190612793,0.5798,0.1658778190612793,2.1720660037479584,0.5798,1.9560831022583112,True,True,0.1613495349884033,0.4989,0.1613495349884033,0.3906029378574042,0.4989,0.2026985845900627,True,False,0.0045282840728759,0.0808999999999999,2.729891252791983,13.953087271472915,True,False,0.0102851384515858,0.1654583513736724,0.1729402554783418,0.3608446087456832,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,0.0,frob,1.0,0.2075693845748901,0.2895999999999999,0.2075693845748901,0.2356213128185402,0.2895999999999999,0.2234384351358663,True,False,0.1918057441711425,0.2607,0.1918057441711425,0.0797266847903239,0.2607,0.0672267229353961,False,False,0.0157636404037475,0.0288999999999999,7.594395693773475,9.979281767955776,True,False,0.024341379813316,0.0022111535072326,0.0257752873646751,0.0382752492196028,cnn-4_mnist
cnn-9,cifar10,learnt,50,rayleigh-zf,0.0,frob,0.01,0.1754888892173767,0.6052,0.1754888892173767,7.632486626300128,0.6052,7.431888441433709,True,True,0.1588413715362548,0.5338,0.1588413715362548,0.9177198987409098,0.5338,0.7111606208126471,True,True,0.0166475176811218,0.0713999999999999,9.486365635661798,11.797752808988747,True,True,0.0102851384515858,121.1193389892578,0.140480093203517,0.3470393711317797,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,10.0,frob,0.01,0.0456819295883178,0.0732,0.0456819295883178,0.2187730030270184,0.0732,0.2065901253443446,True,True,0.0402700304985046,0.0672,0.0402700304985046,0.0754512675474464,0.0672,0.0631997412149183,True,False,0.0054118990898132,0.006,11.846914389529648,8.196721311475413,True,False,0.0074930700217943,3.408090591430664,0.0246921708551364,0.0369436971876644,cnn-4_mnist
cnn-4,mnist,learnt,10,rayleigh-zf,10.0,frob,0.1,0.0435469806194305,0.0692,0.0435469806194305,0.1159375940630338,0.0692,0.1037920658056227,True,True,0.0422101765871048,0.0676,0.0422101765871048,0.0629247672773213,0.0676,0.0504755498744448,True,False,0.0013368040323257,0.0016,3.069797293200312,2.3121387283237644,True,False,0.0074930700217943,0.0582116842269897,0.0256438028859315,0.0380930202888079,cnn-4_mnist
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,0.1,0.1711970686912536,0.5969,0.1711970686912536,3.70436399246307,0.5969,3.4908084380789677,True,True,0.1647354006767273,0.5109,0.1647354006767273,0.4062159671149224,0.5109,0.2153312807007715,True,False,0.0064616680145263,0.0859999999999999,3.774403419359776,14.40777349639805,True,False,0.0102851384515858,4.319115161895752,0.1669972336219859,0.3578819200361369,cnn-9_cifar10
cnn-4,mnist,learnt,10,rayleigh-zf,0.0,frob,0.01,0.1996856570243835,0.2764,0.1996856570243835,0.1327859038545556,0.2764,0.1206403755971445,False,False,0.196251904964447,0.2741,0.196251904964447,0.0900600532737446,0.2741,0.077818262823466,False,False,0.0034337520599365,0.0022999999999999,1.7195787174224628,0.8321273516642435,True,False,0.024341379813316,2.8403658866882324,0.0247801090738143,0.0370218995240929,cnn-4_mnist
cnn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,1.0,0.2249255180358886,0.3228,0.2249255180358886,0.6728084642789499,0.3228,0.6605815608329099,True,True,0.1893431425094604,0.2621,0.1893431425094604,0.0797037928860807,0.2621,0.0672087688622398,False,False,0.0355823755264282,0.0606999999999999,15.81962590867559,18.80421313506815,True,False,0.024341379813316,0.0020496547222137,0.0257579926075477,0.0382530166313887,cnn-4_mnist
cnn-4,mnist,learnt,10,rayleigh-zf,0.0,frob,0.1,0.1996856570243835,0.2764,0.1996856570243835,0.1327859038545556,0.2764,0.1206403755971445,False,False,0.1922001361846924,0.2678,0.1922001361846924,0.0797730770688431,0.2678,0.0673238596659666,False,False,0.0074855208396911,0.0085999999999999,3.748652232331885,3.1114327062228444,True,False,0.024341379813316,0.0582116842269897,0.0256438028859315,0.0380930202888079,cnn-4_mnist
