model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error
cnn-9,cifar10,learnt,10,bec,0.5,frob,0.01,0.08701789975166321,0.3418,0.08701789975166321,2.2398157770168416,0.3418,2.0240799643194882,True,True,0.08943561911582946,0.33520000000000005,0.08943561911582946,0.9493322567240807,0.33520000000000005,0.7429391078420815,True,True,-0.0024177193641662514,0.006599999999999939,-2.7784161316994327,1.9309537741369045,False,True,0.07826044331633007,112.82447814941406,0.14137902077179054,0.34777216965378965
cnn-9,cifar10,learnt,50,bec,0.5,frob,0.01,0.08234166502952575,0.3238,0.08234166502952575,7.700301196716201,0.3238,7.499866763743854,True,True,0.08902596235275269,0.3348,0.08902596235275269,0.9829453842650031,0.3348,0.7762469727260844,True,True,-0.006684297323226937,-0.01100000000000001,-8.1177582707735,-3.3971587399629435,False,True,0.07826044331633007,120.469482421875,0.14049738717279547,0.34719579871171413
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,0.01,0.17119706869125367,0.5969,0.17119706869125367,3.7043639924630694,0.5969,3.4908084380789677,True,True,0.16206233501434325,0.5458000000000001,0.16206233501434325,0.91352541744203,0.5458000000000001,0.7069302812289403,True,True,0.009134733676910423,0.05109999999999992,5.335800283697912,8.560897972859763,True,True,0.0102851384515858,120.141845703125,0.14062123649049552,0.3472163727035852
cnn-9,cifar10,learnt,10,rayleigh-zf,10.0,frob,0.1,0.10640273094177247,0.3752,0.10640273094177247,2.165069016996109,0.3752,1.9490861155064618,True,True,0.1274452805519104,0.35029999999999994,0.1274452805519104,0.3986620513537989,0.35029999999999994,0.20809484576136467,True,False,-0.021042549610137934,0.024900000000000033,-19.77632474645148,6.636460554371012,False,False,0.0032881516997362906,4.255603790283203,0.16704181692296843,0.35760902251540266
fcn-4,mnist,learnt,10,bec,0.1,frob,1.0,0.008582884818315506,0.02629999999999999,0.008582884818315506,0.24101692085378296,0.02629999999999999,0.21520004386033664,True,True,0.01001557856798172,0.028900000000000037,0.01001557856798172,0.1439975311377903,0.028900000000000037,0.11703770021423632,True,True,-0.0014326937496662133,-0.0026000000000000467,-16.692449916243856,-9.885931558935543,False,True,0.06700526789924707,0.004458427429199219,0.032913202100215824,0.05987303302376981
cnn-4,mnist,learnt,50,bec,0.1,frob,1.0,0.00411018580198288,0.012900000000000023,0.00411018580198288,0.7811328014315275,0.012900000000000023,0.7689085483777423,True,True,0.005984098464250564,0.014700000000000046,0.005984098464250564,0.18804488381551138,0.014700000000000046,0.17554824304813055,True,True,-0.0018739126622676844,-0.0018000000000000238,-45.591920962883265,-13.953488372093183,False,True,0.13267394748723166,0.0016742050647735596,0.025766431886330956,0.03826307265371179
fcn-4,mnist,learnt,20,bec,0.1,frob,1.0,0.008122899383306504,0.02629999999999999,0.008122899383306504,0.40761455083516585,0.02629999999999999,0.3821160681731366,True,True,0.009345528483390809,0.028299999999999992,0.009345528483390809,0.14414158107576786,0.028299999999999992,0.11708892621356987,True,True,-0.0012226291000843048,-0.0020000000000000018,-15.05163418122535,-7.6045627376425955,False,True,0.06700526789924707,0.00677943229675293,0.03295495263685601,0.06000760749905401
cnn-9,cifar10,learnt,50,bec,0.5,frob,1.0,0.08234166502952575,0.3238,0.08234166502952575,7.700301196716201,0.3238,7.499866763743854,True,True,0.09963241219520569,0.33640000000000003,0.09963241219520569,0.4587730954398203,0.33640000000000003,0.27069120604533536,True,False,-0.017290747165679937,-0.012600000000000056,-20.998782523379734,-3.8912909203212034,False,False,0.07826044331633007,0.15377464890480042,0.17300982317476876,0.36109171256925365
fcn-4,mnist,learnt,10,bec,0.1,frob,0.1,0.008582884818315506,0.02629999999999999,0.008582884818315506,0.24101692085378296,0.02629999999999999,0.21520004386033664,True,True,0.009879963845014572,0.02859999999999996,0.009879963845014572,0.14432242916804067,0.02859999999999996,0.11755092425935107,True,True,-0.0012970790266990662,-0.0022999999999999687,-15.112389996556349,-8.745247148288858,False,True,0.06700526789924707,0.19210284948349,0.03266037100014314,0.059431875908832754
cnn-9,cifar10,learnt,20,bec,0.5,frob,0.01,0.08599846363067627,0.33620000000000005,0.08599846363067627,3.77215777376239,0.33620000000000005,3.5587935387398715,True,True,0.08859149217605591,0.33140000000000003,0.08859149217605591,0.9867726972105788,0.33140000000000003,0.780057697992093,True,True,-0.0025930285453796414,0.0048000000000000265,-3.0152033372543756,1.4277215942891213,False,True,0.07826044331633007,121.35513305664062,0.14034736239150045,0.34706236160998627
cnn-9,cifar10,learnt,10,rayleigh-zf,10.0,frob,1.0,0.10640273094177247,0.3752,0.10640273094177247,2.165069016996109,0.3752,1.9490861155064618,True,True,0.13149569034576417,0.34930000000000005,0.13149569034576417,0.3836059511055547,0.34930000000000005,0.19570159783821325,True,False,-0.0250929594039917,0.025899999999999923,-23.583003163446527,6.902985074626845,False,False,0.0032881516997362906,0.16545835137367249,0.17294025547834188,0.36084460874568325
cnn-9,cifar10,learnt,50,bec,0.5,frob,0.1,0.08234166502952575,0.3238,0.08234166502952575,7.700301196716201,0.3238,7.499866763743854,True,True,0.0973439335823059,0.3355,0.0973439335823059,0.4733496495244164,0.3355,0.28257042171175784,True,False,-0.015002268552780154,-0.011700000000000044,-18.2195350888286,-3.6133415688696866,False,False,0.07826044331633007,4.105509281158447,0.16721634430767263,0.3579955721203312
