Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples2000,norm-frob,seed7,0.010044439695775509
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples2000,norm-spec,seed7,0.08522093296051025
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples2000,norm-frob,seed7,0.00908521469682455
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples2000,norm-spec,seed7,0.07819744944572449
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples2000,norm-frob,seed7,0.009174545295536518
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples2000,norm-spec,seed7,0.08002778887748718
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer2,mcsamples2000,norm-frob,seed7,0.009435627609491348
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer2,mcsamples2000,norm-spec,seed7,0.08300289511680603
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer2,mcsamples2000,norm-frob,seed7,0.008816031739115715
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer2,mcsamples2000,norm-spec,seed7,0.07871841639280319
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer2,mcsamples2000,norm-frob,seed7,0.008771738968789577
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer2,mcsamples2000,norm-spec,seed7,0.07928577810525894
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer2,mcsamples2000,norm-frob,seed7,0.008642110042273998
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer2,mcsamples2000,norm-spec,seed7,0.07882003486156464
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage1.0,bec-outage1.0,,chan-layer2,mcsamples2000,norm-frob,seed7,0.0085220355540514
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage1.0,bec-outage1.0,,chan-layer2,mcsamples2000,norm-spec,seed7,0.07868628203868866
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples2000,norm-frob,seed7,0.016149573028087616
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples2000,norm-spec,seed7,0.12081395089626312
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples2000,norm-frob,seed7,0.01614573784172535
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples2000,norm-spec,seed7,0.12000611424446106
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples2000,norm-frob,seed7,0.01607736386358738
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples2000,norm-spec,seed7,0.1199093610048294
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples2000,norm-frob,seed7,0.0160056259483099
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples2000,norm-spec,seed7,0.12478849291801453
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples2000,norm-frob,seed7,0.01664331741631031
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples2000,norm-spec,seed7,0.12923996150493622
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.7783,rayleigh-snr-2.5dB,-2.500050284868957,chan-layer2,mcsamples2000,norm-frob,seed7,0.01663566567003727
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.7783,rayleigh-snr-2.5dB,-2.500050284868957,chan-layer2,mcsamples2000,norm-spec,seed7,0.12579654157161713
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer2,mcsamples2000,norm-frob,seed7,0.01663319766521454
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer2,mcsamples2000,norm-spec,seed7,0.11567004770040512
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer2,mcsamples2000,norm-frob,seed7,0.0166233591735363
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer2,mcsamples2000,norm-spec,seed7,0.12078560888767242
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer2,mcsamples2000,norm-frob,seed7,0.016688110306859016
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer2,mcsamples2000,norm-spec,seed7,0.1216018870472908
