Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples500,norm-spec,seed7,0.07340458780527115
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples500,norm-frob,seed7,0.00780903734266758
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples500,norm-spec,seed7,0.06617844849824905
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples500,norm-frob,seed7,0.007720958441495895
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples500,norm-spec,seed7,0.06622663885354996
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples500,norm-frob,seed7,0.008137560449540615
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples500,norm-spec,seed7,0.0706901028752327
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples500,norm-frob,seed7,0.014865528792142868
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples500,norm-spec,seed7,0.11387123912572861
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples500,norm-frob,seed7,0.014863979071378708
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples500,norm-spec,seed7,0.11623767763376236
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples500,norm-frob,seed7,0.01499588880687952
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples500,norm-spec,seed7,0.1199093610048294
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples500,norm-frob,seed7,0.01578988879919052
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples500,norm-spec,seed7,0.12478849291801453
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples500,norm-frob,seed7,0.01664331741631031
fcn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples500,norm-spec,seed7,0.12923996150493622
