model,dataset,prior_type,epoch,channel_type,channel_spec,norm_type,loss_type,lhs,rhs,empirical,channel_term,kl_term,gap,relative_gap,dimension,lipschitz,kl_final
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=10.0dB,frob,01,0.8965,0.4257479472926876,0.9397161230600035,0.0032881516997362906,0.14014682974225237,-0.47075205270731235,-0.5250998914749719,8192.0,0.006619603373110294,31.337783813476562
fcn-4,mnist,rand,50,rayleigh-zf,SNR=10.0dB,frob,ce,0.03769577443599701,37.44986612975698,0.0614766881296476,0.007826982981243406,37.268384429689604,37.41217035532098,992.4765020769753,600.0,0.015757035464048386,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=10.0dB,frob,01,0.12770000000000004,37.35478912956151,0.15655368832511624,0.007826982981243406,37.268384429689604,37.22708912956151,291.5198835517737,600.0,0.015757035464048386,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.1,spec,ce,0.0307902455329895,37.513278583844006,0.06136751119623977,0.07137268781661987,37.268384429689604,37.482488338311015,1217.349445887051,600.0,0.07137268781661987,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.1,spec,01,0.11299999999999999,37.41822565746347,0.15642043757677088,0.07137268781661987,37.268384429689604,37.305225657463474,330.1347403315352,600.0,0.07137268781661987,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.5,spec,ce,0.054147887229919436,37.51259599890262,0.06136751119623977,0.0706901028752327,37.268384429689604,37.4584481116727,691.7804189223291,600.0,0.0706901028752327,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.5,spec,01,0.1654,37.417543072522086,0.15642043757677088,0.0706901028752327,37.268384429689604,37.25214307252209,225.22456513012148,600.0,0.0706901028752327,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=0.0dB,spec,ce,0.08557465672492981,37.62472244632558,0.0614766881296476,0.18268329954984266,37.268384429689604,37.53914778960065,438.6713219343205,600.0,0.11629980057477951,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=0.0dB,spec,01,0.23129999999999995,37.52964544613011,0.15655368832511624,0.18268329954984266,37.268384429689604,37.298345446130114,161.25527646402992,600.0,0.11629980057477951,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.1,frob,ce,0.0307902455329895,37.50891116392663,0.06136751119623977,0.06700526789924707,37.268384429689604,37.47812091839364,1217.207601616511,600.0,0.008666250854730606,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.1,frob,01,0.11299999999999999,37.4138582375461,0.15642043757677088,0.06700526789924707,37.268384429689604,37.3008582375461,330.0960905977531,600.0,0.008666250854730606,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.5,frob,ce,0.054147887229919436,37.58284853326452,0.06136751119623977,0.14094263723713407,37.268384429689604,37.5287006460346,693.0778385993627,600.0,0.008137560449540615,9128.8525390625
fcn-4,mnist,rand,50,bec,outage=0.5,frob,01,0.1654,37.487795606883985,0.15642043757677088,0.14094263723713407,37.268384429689604,37.32239560688399,225.64930838503017,600.0,0.008137560449540615,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=0.0dB,frob,ce,0.08557465672492981,37.46770131925108,0.0614766881296476,0.025662172475346284,37.268384429689604,37.38212666252615,436.83641972046496,600.0,0.016337046399712563,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=0.0dB,frob,01,0.23129999999999995,37.37262431905561,0.15655368832511624,0.025662172475346284,37.268384429689604,37.14132431905561,160.57641296608568,600.0,0.016337046399712563,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=10.0dB,spec,ce,0.03769577443599701,37.49946883016701,0.0614766881296476,0.05742968339127726,37.268384429689604,37.461773055731015,993.7923710610243,600.0,0.11561562865972519,9128.8525390625
fcn-4,mnist,rand,50,rayleigh-zf,SNR=10.0dB,spec,01,0.12770000000000004,37.404391829971544,0.15655368832511624,0.05742968339127726,37.268384429689604,37.27669182997155,291.90831503501596,600.0,0.11561562865972519,9128.8525390625
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=10.0dB,frob,ce,0.014841872453689575,0.18190306607452408,0.030307195135002792,0.007826982981243406,0.10078607089343876,0.16706119362083452,11.256072583975373,600.0,0.015757035464048386,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=10.0dB,frob,01,0.03610000000000002,0.1560212777706971,0.056188983438829776,0.007826982981243406,0.10078607089343876,0.11992127777069708,3.321919051819862,600.0,0.015757035464048386,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.1,spec,ce,0.008582884818315506,0.24538434077115576,0.03030767630663866,0.07137268781661987,0.10078607089343876,0.23680145595284025,27.58996083082883,600.0,0.07137268781661987,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.1,spec,01,0.02629999999999999,0.21956746377770944,0.05612455330008498,0.07137268781661987,0.10078607089343876,0.19326746377770945,7.34857276721329,600.0,0.07137268781661987,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.5,spec,ce,0.010413500666618346,0.24470175582976858,0.03030767630663866,0.0706901028752327,0.10078607089343876,0.23428825516315024,22.498510603085446,600.0,0.0706901028752327,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.5,spec,01,0.03380000000000005,0.21888487883632227,0.05612455330008498,0.0706901028752327,0.10078607089343876,0.18508487883632221,5.475883989240294,600.0,0.0706901028752327,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=0.0dB,spec,ce,0.05780861377716064,0.35675938264312335,0.030307195135002792,0.18268329954984266,0.10078607089343876,0.2989507688659627,5.171387952984853,600.0,0.11629980057477951,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=0.0dB,spec,01,0.10240000000000005,0.33087759433929637,0.056188983438829776,0.18268329954984266,0.10078607089343876,0.22847759433929632,2.2312265072196897,600.0,0.11629980057477951,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.1,frob,ce,0.008582884818315506,0.24101692085378296,0.03030767630663866,0.06700526789924707,0.10078607089343876,0.23243403603546745,27.081108619733918,600.0,0.008666250854730606,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.1,frob,01,0.02629999999999999,0.21520004386033664,0.05612455330008498,0.06700526789924707,0.10078607089343876,0.18890004386033665,7.182511173396834,600.0,0.008666250854730606,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.5,frob,ce,0.010413500666618346,0.31495429019167,0.03030767630663866,0.14094263723713407,0.10078607089343876,0.30454078952505165,29.244804343393533,600.0,0.008137560449540615,24.68744468688965
fcn-4,mnist,learnt,10,bec,outage=0.5,frob,01,0.03380000000000005,0.2891374131982236,0.05612455330008498,0.14094263723713407,0.10078607089343876,0.25533741319822356,7.554361337225537,600.0,0.008137560449540615,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=0.0dB,frob,ce,0.05780861377716064,0.19973825556862695,0.030307195135002792,0.025662172475346284,0.10078607089343876,0.1419296417914663,2.455164248334574,600.0,0.016337046399712563,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=0.0dB,frob,01,0.10240000000000005,0.17385646726479997,0.056188983438829776,0.025662172475346284,0.10078607089343876,0.07145646726479993,0.6978170631328114,600.0,0.016337046399712563,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=10.0dB,spec,ce,0.014841872453689575,0.23150576648455795,0.030307195135002792,0.05742968339127726,0.10078607089343876,0.2166638940308684,14.598150921112882,600.0,0.11561562865972519,24.68744468688965
fcn-4,mnist,learnt,10,rayleigh-zf,SNR=10.0dB,spec,01,0.03610000000000002,0.20562397818073097,0.056188983438829776,0.05742968339127726,0.10078607089343876,0.16952397818073095,4.695955074258472,600.0,0.11561562865972519,24.68744468688965
fcn-4,mnist,rand,10,rayleigh-zf,SNR=10.0dB,frob,ce,0.07263858914375305,13.192829032272751,0.10598586688452173,0.007826982981243406,12.85279840191977,13.120190443128998,180.62286998944745,600.0,0.015757035464048386,3148.27978515625
